,Drug Take-Back Site,Address,City,State,Zip Code,County,Location,Georeferenced Latitude & Longitude,Latitude,Longitude,Grant Owned,Status,Pa Senatorial Districts (2017-01),Pennsylvania County Boundaries,US House Districts for PA 2019,Municipality Boundary,Pa School Districts (2017),Pa House Districts (2017-01),Phone Number,Hours of Availability,Box Status,Attention
800,"CVS PHARMACY, L.L.C. # 01611 (SCRANTON)",1101 MOOSIC ST.,SCRANTON,PA,18505,Lackawanna,"{'latitude': '41.396588', 'longitude': '-75.649372', 'human_address': '{""address"": ""1101 MOOSIC ST."", ""city"": ""SCRANTON"", ""state"": ""PA"", ""zip"": ""18505""}'}","{'type': 'Point', 'coordinates': [-75.648902, 41.396958]}",41.396958,-75.648902,No,Active,34,22,7,1912,420,125,,,Pharmacy,
801,Aldan Police,"1 W. Providence Rd.,","Aldan,",PA,19018,Delaware,"{'latitude': '39.92231', 'longitude': '-75.28701', 'human_address': '{""address"": ""1 W. Providence Rd.,"", ""city"": ""Aldan,"", ""state"": ""PA"", ""zip"": ""19018""}'}","{'type': 'Point', 'coordinates': [-75.287633, 39.922332]}",39.922332,-75.287633,No,Active,39,28,18,1716,438,198,,,,
802,Emporium Police Dept.,421 North Broad Street,Emporium,PA,15834,Cameron,"{'latitude': '41.511751', 'longitude': '-78.237757', 'human_address': '{""address"": ""421 North Broad Street"", ""city"": ""Emporium"", ""state"": ""PA"", ""zip"": ""15834""}'}","{'type': 'Point', 'coordinates': [-78.2379095, 41.5117478]}",41.5117478,-78.2379095,Yes,Active,14,3,3,940,105,14,(814)486-3384,"M-F 8am-4pm, except holidays.",Operational,Sgt. Matthew D. Siple
803,Chester Township Police Department,1840 Harris Street,Chester,PA,19013,Delaware,"{'latitude': '39.845428', 'longitude': '-75.389012', 'human_address': '{""address"": ""1840 Harris Street"", ""city"": ""Chester"", ""state"": ""PA"", ""zip"": ""19013""}'}","{'type': 'Point', 'coordinates': [-75.3928704, 39.8446042]}",39.8446042,-75.3928704,No,Active,35,28,18,1774,160,65,,Please contact location,Operational,
804,Walgreens Pharmacy (Allentown Location),1702  W. Tilghman Street,Allentown,PA,18104,Lehigh,"{'latitude': '40.606148', 'longitude': '-75.496959', 'human_address': '{""address"": ""1702  W. Tilghman Street"", ""city"": ""Allentown"", ""state"": ""PA"", ""zip"": ""18104""}'}","{'type': 'Point', 'coordinates': [-75.497036, 40.605362]}",40.605362,-75.497036,No,Active,36,26,12,455,99,112,610–435–3605,,,
805,City of Greensburg Police Dept.,416 S. Main Street,Greensburg,PA,15601,Westmoreland,"{'latitude': '40.299003', 'longitude': '-79.543082', 'human_address': '{""address"": ""416 S. Main Street"", ""city"": ""Greensburg"", ""state"": ""PA"", ""zip"": ""15601""}'}","{'type': 'Point', 'coordinates': [-79.5434771, 40.2988975]}",40.2988975,-79.5434771,Yes,Active,13,24,9,2380,214,81,(724)838-4324,24 hours/7 days a week.,Operational,Chief Walter J. Lyons
806,Hampden Township Police Dept.,230 S. Sporting Hill Road,Mechanicsburg,PA,17050,Cumberland,"{'latitude': '40.232772', 'longitude': '-76.97157', 'human_address': '{""address"": ""230 S. Sporting Hill Road"", ""city"": ""Mechanicsburg"", ""state"": ""PA"", ""zip"": ""17050""}'}","{'type': 'Point', 'coordinates': [-76.9715881, 40.236082]}",40.236082,-76.9715881,No,Active,20,17,16,770,40,38,(717)761-2609,"M-F 8am-4pm, Sat 8am-Noon.",Operational,
807,New Hanover Twp. Police Dept.,2943 N. Charlotte Street,Gilbertsville,PA,19525,Montgomery,"{'latitude': '40.301565', 'longitude': '-75.583074', 'human_address': '{""address"": ""2943 N. Charlotte Street"", ""city"": ""Gilbertsville"", ""state"": ""PA"", ""zip"": ""19525""}'}","{'type': 'Point', 'coordinates': [-75.583744, 40.3019109]}",40.3019109,-75.583744,Yes,Active,37,57,8,907,137,58,(610)327-1150,24/7,Operational,Chief Kevin McKeon
808,Doylestown Hospital Emergency Room Lobby,595 West State Street,Doylestown,PA,18901,Bucks,"{'latitude': '40.302538', 'longitude': '-75.149462', 'human_address': '{""address"": ""595 West State Street"", ""city"": ""Doylestown"", ""state"": ""PA"", ""zip"": ""18901""}'}","{'type': 'Point', 'coordinates': [-75.1465981, 40.3067939]}",40.3067939,-75.1465981,No,Active,40,35,4,1410,22,145,,Open 24 hours,active,
809,Hilltown Township Police,13 West Creamery Road,Hilltown,PA,18927,Bucks,"{'latitude': '40.342478', 'longitude': '-75.256408', 'human_address': '{""address"": ""13 West Creamery Road"", ""city"": ""Hilltown"", ""state"": ""PA"", ""zip"": ""18927""}'}","{'type': 'Point', 'coordinates': [-75.2570905, 40.3417682]}",40.3417682,-75.2570905,No,Active,40,35,4,1366,345,149,(215)453-6000,M-F 7:30-4:30,Operational,
810,Buckingham Township Police (Lower Level),4613 Hughesian Drive,Buckingham,PA,18912,Bucks,,"{'type': 'Point', 'coordinates': [-75.0608012, 40.3220478]}",40.3220478,-75.0608012,No,Active,,,4,,,,(215)794-8812,,Operational,
811,Walgreens Pharmacy (Norristown Location),2803 W Main St,Norristown,PA,19403,Montgomery,"{'latitude': '40.147523', 'longitude': '-75.395852', 'human_address': '{""address"": ""2803 W Main St"", ""city"": ""Norristown"", ""state"": ""PA"", ""zip"": ""19403""}'}","{'type': 'Point', 'coordinates': [-75.394975, 40.147874]}",40.147874,-75.394975,No,Active,33,57,8,1433,249,61,484–636–5003,,,
812,CVS #1642,406 E. MAIN ST.,WAYNESBORO,PA,17268,"FRANKLIN,PA","{'latitude': '39.752452', 'longitude': '-77.572067', 'human_address': '{""address"": ""406 E. MAIN ST."", ""city"": ""WAYNESBORO"", ""state"": ""PA"", ""zip"": ""17268""}'}","{'type': 'Point', 'coordinates': [-77.571524, 39.75179]}",39.75179,-77.571524,No,Active,19,33,13,1390,442,33,7177621126,Follows Pharmacy Hours of Operation,Pharmacy,
813,Lower Windsor Township Police Department,2425 Craley Road,Wrightsville,PA,17368,York,"{'latitude': '39.94166', 'longitude': '-76.522375', 'human_address': '{""address"": ""2425 Craley Road"", ""city"": ""Wrightsville"", ""state"": ""PA"", ""zip"": ""17368""}'}","{'type': 'Point', 'coordinates': [-76.510154, 39.947493]}",39.947493,-76.510154,No,Active,24,12,15,2512,196,137,(717) 244-6813,Open Monday through Friday from 8AM to 4:40PM,,
814,Monongahela Police Dept.,451 W. Main Street,Monongahela,PA,15063,Washington,"{'latitude': '40.203906', 'longitude': '-79.927905', 'human_address': '{""address"": ""451 W. Main Street"", ""city"": ""Monongahela"", ""state"": ""PA"", ""zip"": ""15063""}'}","{'type': 'Point', 'coordinates': [-79.9274432, 40.2037153]}",40.2037153,-79.9274432,Yes,Active,12,52,9,2046,409,5,(724)258-5511,no set hours call first,Operational,Chief Brian Tempest
815,Tredyffrin Township Police Dept.,1100 DuPortail Road,Berwyn,PA,19312-1079,Chester,"{'latitude': '40.065755', 'longitude': '-75.472561', 'human_address': '{""address"": ""1100 DuPortail Road"", ""city"": ""Berwyn"", ""state"": ""PA"", ""zip"": ""19312-1079""}'}","{'type': 'Point', 'coordinates': [-75.4395931, 40.045824]}",40.045824,-75.4395931,No,Active,32,6,14,917,329,59,(610)644-3221,M-F 6:30am-10:00pm or call an officer will come in to department,Operational,Supt. Anthony Giaimo
816,Springfield Township Police,2320 Township Road,Quakertown,PA,18951,Bucks,"{'latitude': '40.524498', 'longitude': '-75.289097', 'human_address': '{""address"": ""2320 Township Road"", ""city"": ""Quakertown"", ""state"": ""PA"", ""zip"": ""18951""}'}","{'type': 'Point', 'coordinates': [-75.303463, 40.5030783]}",40.5030783,-75.303463,No,Active,37,35,4,155,277,128,(610)346-6700,M-F 9:00-4:30,Operational,
817,Lansford Police Dept.,1 West Ridge Street,Lansford,PA,18232,Carbon,"{'latitude': '40.8321', 'longitude': '-75.884693', 'human_address': '{""address"": ""1 West Ridge Street"", ""city"": ""Lansford"", ""state"": ""PA"", ""zip"": ""18232""}'}","{'type': 'Point', 'coordinates': [-75.8844889, 40.8319804]}",40.8319804,-75.8844889,Yes,Active,30,4,1,2017,283,108,(570)645-5844,,Operational,Sgt. Jack Soberick
818,Waynesboro Police Dept.,57 East Main Street,Waynesboro,PA,17268,Franklin,"{'latitude': '39.754775', 'longitude': '-77.57617', 'human_address': '{""address"": ""57 East Main Street"", ""city"": ""Waynesboro"", ""state"": ""PA"", ""zip"": ""17268""}'}","{'type': 'Point', 'coordinates': [-77.5761588, 39.7549322]}",39.7549322,-77.5761588,Yes,Active,19,33,13,1390,442,33,(717)762-2132,M-F 8-4:30,Operational,Sgt. Michael Bock
819,Silver Spring Township Police Department,"5 Willow Mill Park Road, Suite 1",Mechanicsburg,PA,17050,Cumberland,"{'latitude': '40.251682', 'longitude': '-77.031285', 'human_address': '{""address"": ""5 Willow Mill Park Road, Suite 1"", ""city"": ""Mechanicsburg"", ""state"": ""PA"", ""zip"": ""17050""}'}","{'type': 'Point', 'coordinates': [-77.031333, 40.251256]}",40.251256,-77.031333,Yes,Active,20,17,16,2022,40,40,(717)697-0607,M-F 7:30am-4pm,Operational,
820,Northern Regional Police Dept.,230 Pearce Mill Road,Wexford,PA,15090,Allegheny,"{'latitude': '40.660113', 'longitude': '-80.034088', 'human_address': '{""address"": ""230 Pearce Mill Road"", ""city"": ""Wexford"", ""state"": ""PA"", ""zip"": ""15090""}'}","{'type': 'Point', 'coordinates': [-80.033152, 40.660879]}",40.660879,-80.033152,Yes,Active,9,40,17,1203,95,154,(724)625-3157,Unknown,Ordered 4-26-16,Chief T. Robert Amann
821,State Police-Troop F / Mansfield,785 Lambs Creek Rd,Mansfield,PA,16933,Tioga,"{'latitude': '41.81261', 'longitude': '-77.089244', 'human_address': '{""address"": ""785 Lambs Creek Rd"", ""city"": ""Mansfield"", ""state"": ""PA"", ""zip"": ""16933""}'}","{'type': 'Point', 'coordinates': [-77.089009, 41.814395]}",41.814395,-77.089009,No,Active,14,48,2,793,461,77,,,,
822,State Police-Troop L /Schuylkill Haven,23 Meadowbrook Dr.,Schuylkill Haven,PA,17972-9316,Schuylkill,"{'latitude': '40.591558', 'longitude': '-76.215424', 'human_address': '{""address"": ""23 Meadowbrook Dr."", ""city"": ""Schuylkill Haven"", ""state"": ""PA"", ""zip"": ""17972-9316""}'}","{'type': 'Point', 'coordinates': [-76.214822, 40.591424]}",40.591424,-76.214822,No,Active,27,64,1,1663,134,127,,,,
823,Canonsburg Police Dept.,68 East Pike Street,Canonsburg,PA,15317,Washington,"{'latitude': '40.259071', 'longitude': '-80.185241', 'human_address': '{""address"": ""68 East Pike Street"", ""city"": ""Canonsburg"", ""state"": ""PA"", ""zip"": ""15317""}'}","{'type': 'Point', 'coordinates': [-80.1848399, 40.2588002]}",40.2588002,-80.1848399,Yes,Active,12,52,9,2133,94,4,(724)745-8020,M-F 8-12/ 1-4,Operational,Chief R.T. Bell
824,VA Hospital H.J. Heinz Campus,1010 Delafield Road,Pittsburgh,PA,15215,Allegheny,"{'latitude': '40.497488', 'longitude': '-79.890054', 'human_address': '{""address"": ""1010 Delafield Road"", ""city"": ""Pittsburgh"", ""state"": ""PA"", ""zip"": ""15215""}'}","{'type': 'Point', 'coordinates': [-79.888479, 40.494233]}",40.494233,-79.888479,No,Active,9,40,17,1627,172,159,,,Pharmacy,
825,Eastern Pike Regional Police Dept.,10 Avenue I,Matamoras,PA,18336,Pike,"{'latitude': '41.371159', 'longitude': '-74.700152', 'human_address': '{""address"": ""10 Avenue I"", ""city"": ""Matamoras"", ""state"": ""PA"", ""zip"": ""18336""}'}","{'type': 'Point', 'coordinates': [-74.7051401, 41.3727086]}",41.3727086,-74.7051401,Yes,Active,29,62,7,1843,34,109,(570)491-4700,M-F 8-4,Operational,Chief Chad Stewart
826,Yeadon Borough,"600 Church Lane,",Yeadon,PA,19050,Delaware,"{'latitude': '39.936518', 'longitude': '-75.253511', 'human_address': '{""address"": ""600 Church Lane,"", ""city"": ""Yeadon"", ""state"": ""PA"", ""zip"": ""19050""}'}","{'type': 'Point', 'coordinates': [-75.253614, 39.936123]}",39.936123,-75.253614,No,Active,44,28,18,2028,438,202,,,,
827,Liberty Township Police Dept,"39 Topper Road,",Fairfield,PA,17320,Adams,"{'latitude': '39.733893', 'longitude': '-77.359408', 'human_address': '{""address"": ""39 Topper Road,"", ""city"": ""Fairfield"", ""state"": ""PA"", ""zip"": ""17320""}'}","{'type': 'Point', 'coordinates': [-77.359745, 39.733788]}",39.733788,-77.359745,No,Active,19,39,13,2216,51,35,717-642-6103,"8:00 am—4:00 pm, Monday thru Thursday",,
828,Lancaster County Adult Probation,40 East King Street,Lancaster,PA,17602,Lancaster,"{'latitude': '40.038135', 'longitude': '-76.304011', 'human_address': '{""address"": ""40 East King Street"", ""city"": ""Lancaster"", ""state"": ""PA"", ""zip"": ""17602""}'}","{'type': 'Point', 'coordinates': [-76.303958, 40.037709]}",40.037709,-76.303958,Yes,Active,25,23,15,1993,89,143,(717)299-8181,M-F 8am-5pm,Operational,Chief Mark J. Wilson
829,Schuylkill County Sheriff's Dept.,401 North Second Street,Pottsville,PA,17901,Schuylkill,"{'latitude': '40.687886', 'longitude': '-76.198144', 'human_address': '{""address"": ""401 North Second Street"", ""city"": ""Pottsville"", ""state"": ""PA"", ""zip"": ""17901""}'}","{'type': 'Point', 'coordinates': [-76.1983374, 40.6882919]}",40.6882919,-76.1983374,Yes,Active,27,64,1,1892,304,53,(570)628-1440,M-F 8:30-4:30,Operational,Sheriff Joseph Groody
830,Weis Markets - Williamsport (Lycoming Creek Rd.),1916 Lycoming Creek Rd.,Williamsport,PA,17701,Lycoming,"{'latitude': '41.255246', 'longitude': '-77.04357', 'human_address': '{""address"": ""1916 Lycoming Creek Rd."", ""city"": ""Williamsport"", ""state"": ""PA"", ""zip"": ""17701""}'}","{'type': 'Point', 'coordinates': [-77.042466, 41.254674]}",41.254674,-77.042466,No,Active,21,15,2,1014,441,76,570-326-5144,,,
831,State Police-Troop P / Laporte,5837 US Hwy 220,Laporte,PA,18626,Sullivan,,"{'type': 'Point', 'coordinates': [-76.489852, 41.426794]}",41.426794,-76.489852,No,Active,,,2,,,,,,,
832,Summerhill Township Police Department,892 Main Street,Wilmore,PA,15962,Cambria,"{'latitude': '40.387667', 'longitude': '-78.718569', 'human_address': '{""address"": ""892 Main Street"", ""city"": ""Wilmore"", ""state"": ""PA"", ""zip"": ""15962""}'}","{'type': 'Point', 'coordinates': [-78.718697, 40.387947]}",40.387947,-78.718697,No,Active,16,2,3,1904,123,20,,,,
833,Middleburg Police Dept.,13 N. Main Street,Middleburg,PA,17842,Snyder,"{'latitude': '40.7929', 'longitude': '-77.046216', 'human_address': '{""address"": ""13 N. Main Street"", ""city"": ""Middleburg"", ""state"": ""PA"", ""zip"": ""17842""}'}","{'type': 'Point', 'coordinates': [-77.0466579, 40.792812]}",40.792812,-77.0466579,Yes,Active,22,65,2,2200,254,72,(570)837-0321,M-F 8-4,Operational,Chief Tony M. Jordan
834,Giant Eagle Pharmacy #4093,2501 West 12th St.,Erie,PA,16505,Erie,"{'latitude': '42.10312', 'longitude': '-80.13651', 'human_address': '{""address"": ""2501 West 12th St."", ""city"": ""Erie"", ""state"": ""PA"", ""zip"": ""16505""}'}","{'type': 'Point', 'coordinates': [-80.135246, 42.103097]}",42.103097,-80.135246,No,Active,4,30,11,2347,309,49,(814) 838-7710,Pharmacy Hours,Pharmacy,
835,Philadelphia Police Dept.-19th Police District,6059 Haverford Ave #1 (Box located at 61st & Thompson Streets),Philadelphia,PA,19151,Philadelphia,,"{'type': 'Point', 'coordinates': [-75.240677, 39.970978]}",39.970978,-75.240677,Yes,Active,,,6,,,,(215)686-3190,,Operational,Capt. Joseph Bologna
836,Lower Gwynedd Township Police Dept.,1130 North Bethlehem Pike,Spring House,PA,19477,Montgomery,,"{'type': 'Point', 'coordinates': [-75.224803, 40.190072]}",40.190072,-75.224803,Yes,Active,,,8,,,,(215)646-5303,unknown,ordered 4-26-16,Chief Paul Kenny
837,West Mifflin Police Dept.,1020 Lebanon Road,West Mifflin,PA,15122,Allegheny,"{'latitude': '40.361365', 'longitude': '-79.932695', 'human_address': '{""address"": ""1020 Lebanon Road"", ""city"": ""West Mifflin"", ""state"": ""PA"", ""zip"": ""15122""}'}","{'type': 'Point', 'coordinates': [-79.933137, 40.361839]}",40.361839,-79.933137,Yes,Active,8,40,10,1454,484,94,(412)461-0600,24 hours/7 days a week,Operational,Chief Kenneth Davies
838,Quarryville Borough Police Department,300 St. Catherine Street,Quarryville,PA,17566,Lancaster,"{'latitude': '39.892424', 'longitude': '-76.160875', 'human_address': '{""address"": ""300 St. Catherine Street"", ""city"": ""Quarryville"", ""state"": ""PA"", ""zip"": ""17566""}'}","{'type': 'Point', 'coordinates': [-76.161341, 39.89335]}",39.89335,-76.161341,No,Active,25,23,15,213,425,138,717-786-3121,,,
839,Northampton Township Police,50 Township Road,Richboro,PA,18954,Bucks,"{'latitude': '40.210453', 'longitude': '-75.00826', 'human_address': '{""address"": ""50 Township Road"", ""city"": ""Richboro"", ""state"": ""PA"", ""zip"": ""18954""}'}","{'type': 'Point', 'coordinates': [-75.0081127, 40.2156328]}",40.2156328,-75.0081127,No,Active,50,35,4,109,80,155,(215)322-6111,24 hours /7 days a week,Operational,
840,Smith Township Police Dept.,1848 Smith Twp. State Road,Slovan,PA,15078,Washington,,"{'type': 'Point', 'coordinates': [-80.3908636, 40.3546246]}",40.3546246,-80.3908636,Yes,Active,,,9,,,,(724)947-5069,M-F 9-3,Operational,Sgt. Winford LaRue
841,MERCY PHARMACY,1503 LANSDOWNE AVENUE (SUITE 1000),DARBY,PA,19023,Delaware,"{'latitude': '39.924726', 'longitude': '-75.267037', 'human_address': '{""address"": ""1503 LANSDOWNE AVENUE (SUITE 1000)"", ""city"": ""DARBY"", ""state"": ""PA"", ""zip"": ""19023""}'}","{'type': 'Point', 'coordinates': [-75.267924, 39.92795]}",39.92795,-75.267924,No,Active,44,28,18,2199,438,195,,,Pharmacy,
842,State Police-Troop M / Dublin,3218 Rickert Rd.,Perkasie,PA,18944,Bucks,"{'latitude': '40.373983', 'longitude': '-75.213151', 'human_address': '{""address"": ""3218 Rickert Rd."", ""city"": ""Perkasie"", ""state"": ""PA"", ""zip"": ""18944""}'}","{'type': 'Point', 'coordinates': [-75.210919, 40.376175]}",40.376175,-75.210919,No,Active,40,35,4,1366,345,149,,,,
843,Washington County Courthouse (c/o Office of the Sheriff),1 S Main St #2004,Washington,PA,15301,Washington,,"{'type': 'Point', 'coordinates': [-80.245842, 40.170411]}",40.170411,-80.245842,Yes,Active,,,9,,,,Sheriff Samuel Romano,unknown,ordered 4-26-16,Sheriff Samuel Romano
844,City of Arnold Police Dept.,601 Drey Street,Arnold,PA,15068,Westmoreland,"{'latitude': '40.579962', 'longitude': '-79.767823', 'human_address': '{""address"": ""601 Drey Street"", ""city"": ""Arnold"", ""state"": ""PA"", ""zip"": ""15068""}'}","{'type': 'Point', 'coordinates': [-79.767645, 40.580166]}",40.580166,-79.767645,Yes,Active,8,24,9,2549,235,79,(724)339-9663,24/7,Operational,Chief William W. Weber
845,Borough of Coopersburg Police Dept.,5 North Main Street,Coopersburg,PA,18036,Lehigh,"{'latitude': '40.511626', 'longitude': '-75.390679', 'human_address': '{""address"": ""5 North Main Street"", ""city"": ""Coopersburg"", ""state"": ""PA"", ""zip"": ""18036""}'}","{'type': 'Point', 'coordinates': [-75.3907959, 40.5114229]}",40.5114229,-75.3907959,Yes,Active,36,26,12,336,473,139,(610)282-1444,M-F 8am-4:00pm and by appointment,Operational,Chief Anthony Struss
846,Apollo Borough Police Dept.,616D First Street,Apollo,PA,15613,Armstrong,"{'latitude': '40.58436', 'longitude': '-79.55961', 'human_address': '{""address"": ""616D First Street"", ""city"": ""Apollo"", ""state"": ""PA"", ""zip"": ""15613""}'}","{'type': 'Point', 'coordinates': [-79.559722, 40.583625]}",40.583625,-79.559722,Yes,Active,15,41,3,159,104,80,(724)478-4201,,,Sgt. Jarred Kier
847,Corry City Police Department,20 E South St,Corry,PA,16407,Erie,"{'latitude': '41.919753', 'longitude': '-79.639257', 'human_address': '{""address"": ""20 E South St"", ""city"": ""Corry"", ""state"": ""PA"", ""zip"": ""16407""}'}","{'type': 'Point', 'coordinates': [-79.6392353, 41.9197597]}",41.9197597,-79.6392353,No,Active,3,30,11,2117,48,52,(814)664-2222,M-F 8-4,Operational,
848,CVS #1731,3811 NESHAMINY BLVD.,BENSALEM,PA,19020,"BUCKS,PA","{'latitude': '40.135851', 'longitude': '-74.955102', 'human_address': '{""address"": ""3811 NESHAMINY BLVD."", ""city"": ""BENSALEM"", ""state"": ""PA"", ""zip"": ""19020""}'}","{'type': 'Point', 'coordinates': [-74.954798, 40.135397]}",40.135397,-74.954798,No,Active,50,35,4,224,6,119,2153965690,Follows Pharmacy Hours of Operation,Pharmacy,
849,West Brandywine Township Police Department,198 Lafayette Road,Coatesville,PA,19320,Chester,"{'latitude': '40.042655', 'longitude': '-75.82414', 'human_address': '{""address"": ""198 Lafayette Road"", ""city"": ""Coatesville"", ""state"": ""PA"", ""zip"": ""19320""}'}","{'type': 'Point', 'coordinates': [-75.823739, 40.040979]}",40.040979,-75.823739,No,Active,33,6,14,626,142,43,(610)380-8201,24 hours/7 days a week,Operational,
